timestamp,elapsed_seconds,speed_kmh,acceleration_ms2,throttle_percent,brake_percent,steering_angle_deg,steering_grip,fatigue_level,co2_rate_g_per_km,mode,harsh_acceleration,harsh_braking,speeding,idling,eco_score
2025-11-16 15:44:07.446,26.0,45.68,1.941,67.9,11.5,-6.78,0.74,0.172,121.65,mixed,0,0,0,0,95.0
2025-11-16 15:44:08.446,27.0,46.18,0.494,26.4,3.3,-11.28,0.69,0.174,109.4,mixed,0,0,0,0,95.0
2025-11-16 15:44:09.446,28.0,47.19,1.02,76.0,0.0,-9.02,0.742,0.178,124.67,mixed,0,0,0,0,95.0
2025-11-16 15:44:10.446,29.0,50.34,3.143,51.1,0.0,-8.1,0.792,0.182,138.46,mixed,1,0,0,0,80.0
2025-11-16 15:44:11.446,30.0,52.74,2.398,55.0,9.3,-9.99,0.689,0.184,120.59,mixed,0,0,0,0,95.0
2025-11-16 15:44:12.446,31.0,54.18,1.443,60.1,6.7,-23.46,0.653,0.187,122.7,mixed,0,0,0,0,95.0
2025-11-16 15:44:13.446,32.0,55.67,1.491,62.5,10.4,-19.47,0.854,0.191,124.02,mixed,0,0,0,0,95.0
2025-11-16 15:44:14.446,33.0,56.35,0.679,58.5,4.5,-17.17,0.68,0.193,123.08,mixed,0,0,0,0,95.0
2025-11-16 15:44:15.446,34.0,54.92,-1.431,0.0,67.3,-15.7,0.753,0.198,104.97,mixed,0,0,0,0,95.0
2025-11-16 15:44:16.446,35.0,54.57,-0.353,39.3,14.8,-22.26,0.632,0.201,116.61,mixed,0,0,0,0,95.0
2025-11-16 15:44:17.446,36.0,55.98,1.412,92.1,6.6,-40.43,0.638,0.204,133.03,mixed,0,0,0,0,87.0
2025-11-16 15:44:18.446,37.0,55.53,-0.443,41.7,0.0,-45.0,0.57,0.209,117.72,mixed,0,0,0,0,95.0
2025-11-16 15:44:19.446,38.0,54.49,-1.047,0.0,64.4,-38.52,0.644,0.21,104.8,mixed,0,0,0,0,95.0
2025-11-16 15:44:20.446,39.0,54.64,0.152,62.3,5.4,-30.97,0.732,0.215,123.54,mixed,0,0,0,0,95.0
2025-11-16 15:44:21.446,40.0,54.89,0.25,60.7,5.8,-44.09,0.762,0.218,123.17,mixed,0,0,0,0,95.0
2025-11-16 15:44:22.446,41.0,54.18,-0.71,0.0,63.9,-45.0,0.658,0.219,104.67,mixed,0,0,0,0,95.0
2025-11-16 15:44:23.446,42.0,56.12,1.94,57.6,2.6,-45.0,0.809,0.221,122.73,mixed,0,0,0,0,95.0
2025-11-16 15:44:24.446,43.0,55.69,-0.433,28.6,0.0,-30.99,0.749,0.226,113.86,mixed,0,0,0,0,95.0
2025-11-16 15:44:25.446,44.0,57.16,1.471,71.4,8.2,-25.13,0.658,0.228,127.3,mixed,0,0,0,0,95.0
2025-11-16 15:44:26.446,45.0,58.67,1.516,51.2,0.7,-33.61,0.711,0.23,121.82,mixed,0,0,0,0,95.0
2025-11-16 15:44:27.446,46.0,59.48,0.804,70.4,5.8,-27.8,0.666,0.231,127.9,mixed,0,0,0,0,95.0
2025-11-16 15:44:28.446,47.0,59.31,-0.165,40.1,3.0,-44.25,0.625,0.234,118.74,mixed,0,0,0,0,95.0
2025-11-16 15:44:29.446,48.0,57.34,-1.977,0.0,100.0,-30.33,0.752,0.236,105.93,mixed,0,0,0,0,95.0
2025-11-16 15:44:30.446,49.0,56.53,-0.812,0.0,41.2,-11.7,0.616,0.238,105.61,mixed,0,0,0,0,95.0
2025-11-16 15:44:31.446,50.0,55.91,-0.62,0.0,31.2,-13.14,0.841,0.242,105.36,mixed,0,0,0,0,95.0
2025-11-16 15:44:32.446,51.0,59.34,3.435,48.0,0.3,-0.72,0.827,0.246,141.15,mixed,1,0,0,0,80.0
2025-11-16 15:44:33.446,52.0,59.72,0.381,73.5,2.1,1.58,0.768,0.25,128.94,mixed,0,0,0,0,95.0
2025-11-16 15:44:34.446,53.0,61.84,2.123,57.1,3.0,-2.65,0.686,0.254,124.87,mixed,0,0,0,0,95.0
2025-11-16 15:44:35.446,54.0,61.4,-0.444,31.1,12.0,-1.09,0.605,0.258,116.9,mixed,0,0,0,0,95.0
2025-11-16 15:44:36.446,55.0,60.66,-0.74,0.0,63.8,-8.1,0.731,0.261,107.26,mixed,0,0,0,0,95.0
2025-11-16 15:44:37.446,56.0,60.01,-0.647,0.0,20.6,-6.17,0.75,0.263,107.01,mixed,0,0,0,0,95.0
2025-11-16 15:44:38.446,57.0,62.01,1.999,44.3,0.0,-10.39,0.643,0.267,121.09,mixed,0,0,0,0,95.0
2025-11-16 15:44:39.446,58.0,60.81,-1.204,0.0,91.6,0.74,0.705,0.27,107.32,mixed,0,0,0,0,95.0
2025-11-16 15:44:40.446,59.0,63.28,2.475,43.4,1.2,0.92,0.636,0.272,121.34,mixed,0,0,0,0,95.0
2025-11-16 15:44:41.446,60.0,64.17,0.883,47.0,0.0,-9.39,0.623,0.274,122.77,mixed,0,0,0,0,95.0
2025-11-16 15:44:42.446,61.0,66.96,2.791,46.2,1.4,-4.07,0.622,0.278,143.64,mixed,1,0,0,0,80.0
2025-11-16 15:44:43.446,62.0,67.18,0.226,38.7,1.7,-23.69,0.786,0.28,121.47,mixed,0,0,0,0,95.0
2025-11-16 15:44:44.446,63.0,68.26,1.077,62.4,8.0,-26.32,0.549,0.282,129.01,mixed,0,0,0,0,95.0
2025-11-16 15:44:45.446,64.0,68.75,0.491,42.9,9.5,-40.45,0.625,0.284,123.37,mixed,0,0,0,0,95.0
2025-11-16 15:44:46.446,65.0,68.45,-0.302,26.1,5.4,-27.2,0.693,0.286,118.2,mixed,0,0,0,0,95.0
2025-11-16 15:44:47.446,66.0,68.88,0.428,44.5,8.1,-13.47,0.793,0.288,123.9,mixed,0,0,0,0,95.0
2025-11-16 15:44:48.446,67.0,70.1,1.227,78.9,0.9,-14.25,0.673,0.291,134.72,mixed,0,0,0,0,100.0
2025-11-16 15:44:49.446,68.0,69.05,-1.05,0.0,61.7,-21.58,0.714,0.295,110.62,mixed,0,0,0,0,95.0
2025-11-16 15:44:50.446,69.0,68.26,-0.798,0.0,52.2,-20.1,0.542,0.299,110.3,mixed,0,0,0,0,95.0
2025-11-16 15:44:51.446,70.0,68.7,0.447,55.3,11.3,-20.13,0.776,0.3,127.06,mixed,0,0,0,0,95.0
2025-11-16 15:44:52.446,71.0,70.74,2.039,67.5,8.2,-37.8,0.626,0.302,131.53,mixed,0,0,0,0,100.0
2025-11-16 15:44:53.446,72.0,70.55,-0.191,36.1,9.3,-36.73,0.686,0.304,122.04,mixed,0,0,0,0,100.0
2025-11-16 15:44:54.446,73.0,69.03,-1.519,0.0,92.8,-27.97,0.699,0.307,110.61,mixed,0,0,0,0,95.0
2025-11-16 15:44:55.446,74.0,68.11,-0.922,0.0,56.1,-31.28,0.919,0.312,110.24,mixed,0,0,0,0,95.0
2025-11-16 15:44:56.446,75.0,68.19,0.082,45.0,6.0,-25.89,0.734,0.316,123.76,mixed,0,0,0,0,95.0
2025-11-16 15:44:57.446,76.0,68.57,0.376,78.1,5.6,-24.47,0.709,0.319,133.85,mixed,0,0,0,0,95.0
2025-11-16 15:44:58.446,77.0,70.4,1.83,47.7,2.1,-18.51,0.694,0.321,125.47,mixed,0,0,0,0,100.0
2025-11-16 15:44:59.446,78.0,72.67,2.27,40.0,7.1,-14.65,0.756,0.323,124.05,mixed,0,0,0,0,100.0
2025-11-16 15:45:00.446,79.0,73.62,0.954,68.3,10.4,-17.89,0.666,0.327,132.95,mixed,0,0,0,0,100.0
2025-11-16 15:45:01.446,80.0,74.94,1.321,63.2,5.3,-18.51,0.725,0.328,131.95,mixed,0,0,0,0,100.0
2025-11-16 15:45:02.446,81.0,75.63,0.692,54.0,4.8,-13.71,0.713,0.33,129.46,mixed,0,0,0,0,100.0
2025-11-16 15:45:03.446,82.0,73.5,-2.131,0.0,100.0,-15.55,0.778,0.333,112.4,mixed,0,0,0,0,100.0
2025-11-16 15:45:04.446,83.0,73.82,0.317,55.2,9.9,-19.6,0.805,0.337,129.09,mixed,0,0,0,0,100.0
2025-11-16 15:45:05.446,84.0,73.82,0.004,63.6,1.4,-16.55,0.709,0.339,131.6,mixed,0,0,0,0,100.0
2025-11-16 15:45:06.446,85.0,76.15,2.324,41.0,4.8,-19.27,0.714,0.344,125.75,mixed,0,0,0,0,100.0
2025-11-16 15:45:07.446,86.0,75.51,-0.633,0.0,33.7,-31.19,0.717,0.347,113.21,mixed,0,0,0,0,100.0
2025-11-16 15:45:08.446,87.0,74.97,-0.544,0.0,19.1,-29.88,0.678,0.352,112.99,mixed,0,0,0,0,100.0
2025-11-16 15:45:09.446,88.0,73.02,-1.946,0.0,100.0,-13.61,0.749,0.353,112.21,mixed,0,0,0,0,100.0
2025-11-16 15:45:10.446,89.0,72.12,-0.906,0.0,46.4,-16.39,0.686,0.358,111.85,mixed,0,0,0,0,100.0
2025-11-16 15:45:11.446,90.0,71.44,-0.677,0.0,26.1,-19.45,0.742,0.362,111.58,mixed,0,0,0,0,100.0
2025-11-16 15:45:12.446,91.0,70.94,-0.499,0.0,47.3,-24.91,0.659,0.365,111.38,mixed,0,0,0,0,100.0
2025-11-16 15:45:13.446,92.0,72.82,1.882,62.4,1.1,-33.42,0.671,0.366,130.85,mixed,0,0,0,0,100.0
2025-11-16 15:45:14.446,93.0,73.97,1.148,62.2,5.8,-43.95,0.67,0.369,131.26,mixed,0,0,0,0,100.0
2025-11-16 15:45:15.446,94.0,72.76,-1.213,0.0,68.6,-45.0,0.718,0.371,112.1,mixed,0,0,0,0,100.0
2025-11-16 15:45:16.446,95.0,71.96,-0.799,0.0,56.1,-45.0,0.693,0.375,111.78,mixed,0,0,0,0,100.0
2025-11-16 15:45:17.446,96.0,71.42,-0.544,0.0,44.0,-45.0,0.772,0.376,111.57,mixed,0,0,0,0,100.0
2025-11-16 15:45:18.446,97.0,70.5,-0.916,0.0,58.6,-45.0,0.571,0.378,111.2,mixed,0,0,0,0,100.0
2025-11-16 15:45:19.446,98.0,67.18,-3.323,0.0,100.0,-39.97,0.646,0.382,119.87,mixed,0,1,0,0,83.0
2025-11-16 15:45:20.446,99.0,66.34,-0.838,0.0,48.3,-21.96,0.539,0.383,109.54,mixed,0,0,0,0,95.0
2025-11-16 15:45:21.446,100.0,67.2,0.861,70.3,3.9,-15.44,0.616,0.387,130.96,mixed,0,0,0,0,95.0
2025-11-16 15:45:22.446,101.0,67.16,-0.04,42.7,0.0,-11.77,0.719,0.392,122.66,mixed,0,0,0,0,95.0
2025-11-16 15:45:23.446,102.0,66.53,-0.625,0.0,33.8,-14.89,0.609,0.395,109.61,mixed,0,0,0,0,95.0
2025-11-16 15:45:24.446,103.0,67.15,0.615,37.7,0.0,-6.27,0.624,0.397,121.18,mixed,0,0,0,0,95.0
2025-11-16 15:45:25.446,104.0,69.44,2.292,27.5,1.2,-3.26,0.676,0.401,119.01,mixed,0,0,0,0,95.0
2025-11-16 15:45:26.446,105.0,69.54,0.097,42.7,13.0,-18.31,0.722,0.404,123.62,mixed,0,0,0,0,95.0
2025-11-16 15:45:27.446,106.0,69.14,-0.402,19.3,4.4,-17.35,0.737,0.405,116.45,mixed,0,0,0,0,95.0
2025-11-16 15:45:28.446,107.0,69.84,0.706,46.0,7.3,-19.86,0.751,0.409,124.75,mixed,0,0,0,0,95.0
2025-11-16 15:45:29.446,108.0,68.46,-1.382,0.0,71.8,-20.89,0.694,0.413,110.38,mixed,0,0,0,0,95.0
2025-11-16 15:45:30.446,109.0,69.25,0.787,76.2,13.4,-20.32,0.759,0.416,133.54,mixed,0,0,0,0,95.0
2025-11-16 15:45:31.446,110.0,67.96,-1.293,0.0,71.9,-12.29,0.713,0.417,110.18,mixed,0,0,0,0,95.0
2025-11-16 15:45:32.446,111.0,64.77,-3.185,0.0,88.9,-20.69,0.564,0.418,118.91,mixed,0,1,0,0,83.0
2025-11-16 15:45:33.446,112.0,66.56,1.788,71.7,10.0,-10.24,0.721,0.42,131.13,mixed,0,0,0,0,95.0
2025-11-16 15:45:34.446,113.0,68.16,1.597,55.1,6.4,-16.05,0.673,0.423,126.79,mixed,0,0,0,0,95.0
2025-11-16 15:45:35.446,114.0,67.59,-0.564,0.0,35.6,-10.81,0.748,0.427,110.04,mixed,0,0,0,0,95.0
2025-11-16 15:45:36.446,115.0,66.45,-1.146,0.0,75.1,-3.12,0.694,0.428,109.58,mixed,0,0,0,0,95.0
2025-11-16 15:45:37.446,116.0,65.86,-0.585,0.0,31.9,-16.53,0.601,0.433,109.34,mixed,0,0,0,0,95.0
2025-11-16 15:45:38.446,117.0,64.59,-1.268,0.0,83.4,-14.28,0.669,0.435,108.84,mixed,0,0,0,0,95.0
2025-11-16 15:45:39.446,118.0,64.52,-0.072,28.3,5.9,-9.87,0.81,0.44,117.29,mixed,0,0,0,0,95.0
2025-11-16 15:45:40.446,119.0,63.77,-0.754,0.0,42.4,-12.34,0.646,0.441,108.51,mixed,0,0,0,0,95.0
2025-11-16 15:45:41.446,120.0,61.01,-2.761,0.0,91.6,-23.73,0.723,0.443,117.4,mixed,0,1,0,0,83.0
2025-11-16 15:45:42.446,121.0,62.71,1.707,53.1,2.9,-23.9,0.752,0.445,124.01,mixed,0,0,0,0,95.0
2025-11-16 15:45:43.446,122.0,61.66,-1.051,0.0,66.8,-8.81,0.578,0.446,107.66,mixed,0,0,0,0,95.0
2025-11-16 15:45:44.446,123.0,63.53,1.869,58.1,0.6,2.19,0.734,0.448,125.84,mixed,0,0,0,0,95.0
2025-11-16 15:45:45.446,124.0,63.5,-0.031,25.8,4.7,5.86,0.658,0.45,116.15,mixed,0,0,0,0,95.0
2025-11-16 15:45:46.446,125.0,63.64,0.141,44.9,14.0,2.74,0.762,0.453,121.93,mixed,0,0,0,0,95.0
2025-11-16 15:45:47.446,126.0,65.28,1.644,46.9,12.0,-1.41,0.655,0.456,123.19,mixed,0,0,0,0,95.0
2025-11-16 15:45:48.446,127.0,64.53,-0.757,0.0,65.2,-6.88,0.597,0.459,108.81,mixed,0,0,0,0,95.0
2025-11-16 15:45:49.446,128.0,65.93,1.399,20.8,2.8,6.81,0.658,0.461,115.6,mixed,0,0,0,0,95.0
2025-11-16 15:45:50.446,129.0,66.81,0.882,56.2,4.0,3.29,0.761,0.465,126.58,mixed,0,0,0,0,95.0
2025-11-16 15:45:51.446,130.0,66.41,-0.4,30.6,0.0,-7.85,0.628,0.468,118.74,mixed,0,0,0,0,95.0
2025-11-16 15:45:52.446,131.0,68.09,1.684,46.6,12.0,-12.76,0.577,0.472,124.23,mixed,0,0,0,0,95.0
2025-11-16 15:45:53.446,132.0,69.32,1.224,29.4,3.0,-9.72,0.719,0.477,119.55,mixed,0,0,0,0,95.0
2025-11-16 15:45:54.446,133.0,70.29,0.973,15.8,3.3,-8.25,0.6,0.478,115.86,mixed,0,0,0,0,100.0
2025-11-16 15:45:55.446,134.0,70.33,0.038,27.2,13.2,-13.73,0.626,0.481,119.29,mixed,0,0,0,0,100.0
2025-11-16 15:45:56.446,135.0,70.2,-0.127,26.7,11.8,-15.54,0.59,0.485,119.09,mixed,0,0,0,0,100.0
2025-11-16 15:45:57.446,136.0,72.35,2.153,61.6,8.5,8.32,0.666,0.487,130.43,mixed,0,0,0,0,100.0
2025-11-16 15:45:58.446,137.0,72.44,0.084,81.5,1.3,2.08,0.622,0.489,136.42,mixed,0,0,0,0,92.0
2025-11-16 15:45:59.446,138.0,69.08,-3.355,0.0,100.0,-15.82,0.878,0.49,120.63,mixed,0,1,0,0,83.0
2025-11-16 15:46:00.446,139.0,71.42,2.339,18.1,2.2,-10.37,0.708,0.492,117.01,mixed,0,0,0,0,100.0
2025-11-16 15:46:01.446,140.0,74.74,3.324,34.5,10.8,-0.9,0.614,0.496,143.25,mixed,1,0,0,0,85.0
2025-11-16 15:46:02.446,141.0,74.23,-0.516,0.0,41.4,-12.12,0.592,0.497,112.69,mixed,0,0,0,0,100.0
2025-11-16 15:46:03.446,142.0,74.42,0.195,61.7,0.0,-11.91,0.602,0.501,131.29,mixed,0,0,0,0,100.0
2025-11-16 15:46:04.446,143.0,70.98,-3.441,0.0,83.5,-5.37,0.532,0.503,121.39,mixed,0,1,0,0,88.0
2025-11-16 15:46:05.446,144.0,69.48,-1.501,0.0,100.0,0.25,0.564,0.506,110.79,mixed,0,0,0,0,95.0
2025-11-16 15:46:06.446,145.0,69.61,0.124,4.7,2.8,9.25,0.747,0.51,112.27,mixed,0,0,0,0,95.0
2025-11-16 15:46:07.446,146.0,69.27,-0.337,6.9,0.0,-0.47,0.693,0.512,112.78,mixed,0,0,0,0,95.0
2025-11-16 15:46:08.446,147.0,69.77,0.501,28.2,0.4,-12.19,0.584,0.516,119.37,mixed,0,0,0,0,95.0
2025-11-16 15:46:09.446,148.0,70.24,0.469,70.3,4.7,1.17,0.744,0.517,132.19,mixed,0,0,0,0,100.0
2025-11-16 15:46:10.446,149.0,70.23,-0.01,21.6,12.3,0.22,0.478,0.519,117.56,mixed,0,0,0,0,100.0
2025-11-16 15:46:11.446,150.0,69.08,-1.145,0.0,58.5,-2.85,0.655,0.521,110.63,mixed,0,0,0,0,95.0
2025-11-16 15:46:12.446,151.0,69.12,0.032,66.4,2.0,-2.87,0.652,0.525,130.57,mixed,0,0,0,0,95.0
2025-11-16 15:46:13.446,152.0,69.66,0.543,48.7,2.3,-12.05,0.658,0.528,125.48,mixed,0,0,0,0,95.0
2025-11-16 15:46:14.446,153.0,70.32,0.66,49.1,0.2,-25.09,0.723,0.532,125.84,mixed,0,0,0,0,100.0
2025-11-16 15:46:15.446,154.0,70.86,0.541,58.9,9.2,-23.74,0.617,0.534,129.01,mixed,0,0,0,0,100.0
2025-11-16 15:46:16.446,155.0,73.37,2.51,19.4,9.9,-15.09,0.683,0.535,138.17,mixed,1,0,0,0,85.0
2025-11-16 15:46:17.446,156.0,73.66,0.292,69.9,0.0,-23.35,0.663,0.537,133.45,mixed,0,0,0,0,100.0
2025-11-16 15:46:18.446,157.0,74.34,0.677,34.5,9.3,-24.46,0.647,0.538,123.08,mixed,0,0,0,0,100.0
2025-11-16 15:46:19.446,158.0,75.56,1.225,39.5,4.7,-37.59,0.834,0.541,125.09,mixed,0,0,0,0,100.0
2025-11-16 15:46:20.446,159.0,75.87,0.305,68.2,10.4,-36.77,0.652,0.545,133.82,mixed,0,0,0,0,100.0
2025-11-16 15:46:21.446,160.0,77.73,1.86,58.4,3.2,-39.17,0.691,0.549,131.62,mixed,0,0,0,0,100.0
2025-11-16 15:46:22.446,161.0,76.95,-0.783,0.0,64.2,-35.73,0.585,0.552,113.78,mixed,0,0,0,0,100.0
2025-11-16 15:46:23.446,162.0,77.53,0.588,68.9,5.9,-32.88,0.66,0.554,134.68,mixed,0,0,0,0,100.0
2025-11-16 15:46:24.446,163.0,77.7,0.165,31.2,13.1,-41.04,0.588,0.556,123.44,mixed,0,0,0,0,100.0
2025-11-16 15:46:25.446,164.0,77.52,-0.183,22.9,0.0,-45.0,0.615,0.557,120.89,mixed,0,0,0,0,100.0
2025-11-16 15:46:26.446,165.0,73.96,-3.551,0.0,100.0,-39.91,0.67,0.558,122.59,mixed,0,1,0,0,88.0
2025-11-16 15:46:27.446,166.0,74.6,0.639,37.2,4.4,-35.19,0.676,0.562,124.0,mixed,0,0,0,0,100.0
2025-11-16 15:46:28.446,167.0,74.49,-0.115,25.4,2.8,-36.11,0.607,0.564,120.42,mixed,0,0,0,0,100.0
2025-11-16 15:46:29.446,168.0,73.37,-1.114,0.0,66.5,-27.58,0.685,0.567,112.35,mixed,0,0,0,0,100.0
2025-11-16 15:46:30.446,169.0,73.52,0.143,32.7,1.8,-21.92,0.601,0.572,122.23,mixed,0,0,0,0,100.0
2025-11-16 15:46:31.446,170.0,73.58,0.061,67.3,6.9,-23.84,0.798,0.575,132.62,mixed,0,0,0,0,100.0
2025-11-16 15:46:32.446,171.0,72.29,-1.283,0.0,91.8,-29.88,0.68,0.579,111.92,mixed,0,0,0,0,100.0
2025-11-16 15:46:33.446,172.0,69.0,-3.298,0.0,99.1,-10.82,0.72,0.583,120.6,mixed,0,1,0,0,83.0
2025-11-16 15:46:34.446,173.0,70.46,1.462,52.9,6.7,-7.24,0.548,0.586,127.06,mixed,0,0,0,0,100.0
2025-11-16 15:46:35.446,174.0,70.55,0.095,25.6,3.4,-6.49,0.682,0.587,118.89,mixed,0,0,0,0,100.0
2025-11-16 15:46:36.446,175.0,69.38,-1.175,0.0,77.1,-14.76,0.683,0.592,110.75,mixed,0,0,0,0,95.0
2025-11-16 15:46:37.446,176.0,70.17,0.797,52.4,7.4,-3.64,0.514,0.595,126.78,mixed,0,0,0,0,100.0
2025-11-16 15:46:38.446,177.0,70.22,0.045,54.4,3.2,9.53,0.7,0.6,127.4,mixed,0,0,0,0,100.0
2025-11-16 15:46:39.446,178.0,70.77,0.548,65.1,6.0,17.88,0.738,0.603,130.85,mixed,0,0,0,0,100.0
2025-11-16 15:46:40.446,179.0,71.09,0.321,59.8,10.0,19.81,0.683,0.605,129.39,mixed,0,0,0,0,100.0
2025-11-16 15:46:41.446,180.0,72.03,0.942,40.7,7.3,14.69,0.703,0.61,124.01,mixed,0,0,0,0,100.0
2025-11-16 15:46:42.446,181.0,71.33,-0.702,0.0,34.8,24.7,0.714,0.613,111.53,mixed,0,0,0,0,100.0
2025-11-16 15:46:43.446,182.0,71.5,0.175,17.3,7.1,11.81,0.713,0.615,116.78,mixed,0,0,0,0,100.0
2025-11-16 15:46:44.446,183.0,72.08,0.572,40.2,4.1,15.47,0.687,0.62,123.9,mixed,0,0,0,0,100.0
2025-11-16 15:46:45.446,184.0,73.62,1.549,40.1,0.0,18.16,0.809,0.623,124.47,mixed,0,0,0,0,100.0
2025-11-16 15:46:46.446,185.0,70.64,-2.988,0.0,100.0,9.78,0.648,0.627,121.25,mixed,0,1,0,0,88.0
2025-11-16 15:46:47.446,186.0,71.94,1.301,38.5,1.9,14.53,0.686,0.629,123.33,mixed,0,0,0,0,100.0
2025-11-16 15:46:48.446,187.0,73.86,1.927,53.3,6.5,16.04,0.756,0.633,128.55,mixed,0,0,0,0,100.0
2025-11-16 15:46:49.446,188.0,72.29,-1.57,0.0,91.0,16.54,0.686,0.635,111.92,mixed,0,0,0,0,100.0
2025-11-16 15:46:50.446,189.0,71.45,-0.843,0.0,58.7,15.89,0.701,0.639,111.58,mixed,0,0,0,0,100.0
2025-11-16 15:46:51.446,190.0,70.03,-1.422,0.0,93.6,-6.7,0.656,0.641,111.01,mixed,0,0,0,0,100.0
2025-11-16 15:46:52.446,191.0,69.76,-0.268,38.9,0.5,4.23,0.725,0.644,122.57,mixed,0,0,0,0,95.0
2025-11-16 15:46:53.446,192.0,69.9,0.139,52.5,0.0,-2.03,0.639,0.648,126.72,mixed,0,0,0,0,95.0
2025-11-16 15:46:54.446,193.0,69.94,0.045,56.3,0.0,-1.97,0.645,0.649,127.87,mixed,0,0,0,0,95.0
2025-11-16 15:46:55.446,194.0,70.3,0.354,43.9,0.9,-9.85,0.767,0.654,124.29,mixed,0,0,0,0,100.0
2025-11-16 15:46:56.446,195.0,69.41,-0.887,0.0,44.3,2.51,0.762,0.656,110.76,mixed,0,0,0,0,95.0
2025-11-16 15:46:57.446,196.0,68.71,-0.702,0.0,45.5,2.74,0.483,0.659,110.48,mixed,0,0,0,0,95.0
2025-11-16 15:46:58.446,197.0,69.09,0.381,52.1,0.0,-6.98,0.632,0.662,126.27,mixed,0,0,0,0,95.0
2025-11-16 15:46:59.446,198.0,70.16,1.071,64.2,12.6,-7.18,0.66,0.666,130.34,mixed,0,0,0,0,100.0
2025-11-16 15:47:00.446,199.0,68.6,-1.561,0.0,95.4,-0.47,0.709,0.67,110.44,mixed,0,0,0,0,95.0
2025-11-16 15:47:01.446,200.0,65.69,-2.908,0.0,100.0,2.1,0.496,0.674,119.28,mixed,0,1,0,0,83.0
2025-11-16 15:47:02.446,201.0,64.71,-0.984,0.0,48.5,-10.97,0.579,0.678,108.88,mixed,0,0,0,0,95.0
2025-11-16 15:47:03.446,202.0,65.74,1.027,36.5,3.3,7.73,0.661,0.683,120.25,mixed,0,0,0,0,95.0
